,Day
220,"Driscoll, Rachel (2015), Affiliate Faculty of Chemistry. B.S., Michigan State University; M.S., Central Michigan University."
221,"Du, Jie (2013), Assistant Professor of Computing and Information Systems. B.S., Southwest Jiaotong University; M.S., Beijing Jiaotong University; M.S., Ph.D., University of Maryland Baltimore County."
222,"Dueker, Gwenden (2002), Associate Professor of Psychology. B.A., Quincy University; M.S., Ph.D., Duke University."
223,"Dueweke, Thomas (2012), Affiliate Faculty of Chemistry. B.A., Kalamazoo College; Ph.D., University of Illinois."
224,"Duitman, Henry (2008), Associate Professor of Music. B.M.E., Florida State University; M.A., University of South Florida; Ph.D., The Ohio State University."
225,"Dulimarta, Hans (2002), Associate Professor of Computing and Information Systems. B.S., Institute of Technology Bandung, Indonesia; M.S., Ph.D., Michigan State University."
226,"Dunn, Cheryl (2005), Associate Professor of Accounting. B.A., M.B.A., Ph.D., Michigan State University."
227,"Dunn, James P. (1998), Professor of Biology. B.S., University of Michigan; M.S., Ph.D., University of Kentucky."
228,"Dunne, Bruce (2003), Professor of Engineering. B.S.E.E., M.S.E.E., University of Illinois; Ph.D., Illinois Institute of Technology."
229,"Eaton, David (2009), Associate Professor of History. B.A., Trent University; M.A., Queen’s University; Ph.D., Dalhousie University."
230,"Edwards, Susan (2000), Associate Professor of Finance. B.S., Purdue University; M.B.A., Ph.D., Kent State University."
231,"Eggers, Jill (2000), Associate Professor of Art and Design. B.F.A., Western Michigan University; M.F.A., Yale University."
232,"Ellenberger, Kurt (2005), Professor of Music, Frederik Meijer Honors College. B.A., University of Windsor; M.M., University of Northern Colorado; D.M.A., University of Texas at Austin."
233,"Ellis, Lindsay M. (2007), Associate Professor of English. B.A., Wheaton College; M.A., University of Chicago; Ph.D., University of Michigan."
234,"Ellis, Roger (1975), Professor of Communications. B.A., M.A., University of Santa Clara; Ph.D., University of California, Berkeley."
235,"El-Said, Mostafa M. (2004), Associate Professor of Computing and Information Systems. B.E.E., M.E.E., Zagazig University; M.S., Ph.D., University of Louisville."
236,"Engelsma, Jonathan R. (2009), Associate Professor of Computing and Information Systems. B.S., Grand Valley State University; M.S., Ph.D., Michigan State University."
237,"Espitia-Fonseca, H. Fabio (2004), Affiliate Faculty in Spanish. B.A., Universidad Pedagógica Nacional, Bogota, Colombia; M.A., Carthage College."
238,"Estrada, Javier (1992), Professor of Physics. B.S., Universidad Nacional de Colombia; M.S., Ph.D., University of South Carolina."
239,"Evans, Dawn M. (2009), Assistant Professor of English. B.P.E., Memorial University of Newfoundland; M.Ed., University of Utah; Ph.D., University of Rochester."
240,"Evans, Timothy (2008), Associate Professor of Biology. B.S., M.S., University of Wyoming, Laramie; Ph.D., University of Wisconsin, Madison."
241,"Fanning, Kurt (2000), Professor of Accounting. B.B.A., Hofstra University; B.S., Iowa State University; M.B.A., Pace University; Ph.D., University of Kansas; C.M.A., C.P.A."
242,"Farris, John (1998), Professor of Engineering. B.S., M.S., Lehigh University; Ph.D., University of Rhode Island."
243,"Fauvel, Anne Marie (2010), Affiliate Faculty of Liberal Studies. B.A., Université de Montréal; M.A., Rhode Island College."
244,"Feeback, Matthew R. (2016), Assistant Professor of Movement Science. B.S., Kent State University; M.S., The University of Akron; Ph.D., Kent State University."
245,"Felker, Kyle (2012), Associate Librarian. B.A., University of Southern Mississippi; M.L.I.S., Louisiana State University; M.A., University of Louisiana-Lafayette."
246,"Fenik, Anton (2015), Assistant Professor of Marketing. B.S., M.B.A., University of South Carolina; Ph.D., University of Tennessee."
247,"Ferguson, Roger C. (1998), Professor of Computing and Information Systems. B.S., Michigan Technological University; M.S., Central Michigan University; Ph.D., Wayne State University."
248,"Fernández-Tardani, Sandra L. (2008), Affiliate Faculty in Spanish. B.A., Universidad Pedagógica Nacional, Bogotá, Colombia; M.A., Michigan State University."
249,"Feurzeig, Lisa (1998), Professor of Music. B.A., Harvard College; M.M., University of Maryland; Ph.D., University of Chicago."
250,"Fidalgo-Eick, Maria (2003), Associate Professor of Spanish. M.A., Ph.D., University of Iowa."
251,"Fifić, Mario (2011), Associate Professor of Psychology. B.A., University of Belgrade; M.A., Ph.D., Indiana University."
252,"Fishback, Paul (1993), Professor of Mathematics. A.B., Hamilton College; Ph.D., University of Wisconsin."
253,"Fisher, Joseph B. (1996), Professor of Education. B.S., M.Ed., Grand Valley State University; Ph.D., University of Kansas."
254,"Fisher, Timothy (2000), Associate Professor of Art and Design. B.A., M.A., Central Washington University; M.F.A., University of Cincinnati."
255,"Fitzpatrick, Coeli (2002), Professor of Philosophy and Middle East Studies, and Chair of Frederik Meijer Honors College. B.A., Regis University; M.A., Ph.D., Binghamton University."
256,"Flandreau, Elizabeth I. (2015), Assistant Professor of Psychology. B.A., Lawrence University; Ph.D., Emory University."
257,"Fleischmann, Shirley T. (1989), Professor of Engineering. B.S., M.S., Ph.D., University of Maryland."
258,"Flemming, Tracy (2012), Assistant Professor of African/African American Studies. B.A., Morehouse College; M.A., Ph.D., University of Michigan."
259,"Floyd-Slabaugh, Carla (2015), Visiting Professor of Occupational Science and Therapy. B.S., Northeast Louisiana University; DrOT, Chatham University."
260,"Fortes Gonzalez, Mayra (2009), Associate Professor of Spanish. B.A., Universidad de las Américas-Puebla, México; M.A., Ph.D., Vanderbilt University."
261,"Fox, Laura (2000), Assistant Professor of Spanish. B.A., College of Wooster; M.A., Indiana University."
262,"Fox, Regis (2016), Assistant Professor of English. B.A., Clark Atlanta University; M.A., Ph.D., University of California, Riverside"
263,"Franciosi, Robert (1988), Professor of English. B.A., New York University; M.A., Ph.D., University of Iowa."
264,"Freudigmann, Megan (2012), Affiliate Professor of Education. B.A., Hope College; M.S., Walden University."
265,"Frey, Robert (2005), Assistant Professor of Management. B.S., Colorado State University; J.D., Duke University School of Law; AMP, Harvard University."
266,"Friedlmeier, Mihaela (2007), Associate Professor of Psychology. M.A., Cuza University; Ph.D., University of Konstanz."
267,"Friedlmeier, Wolfgang (2004), Professor of Psychology. M.A., University of Bamberg; Ph.D., University of Konstanz."
268,"Friesema, Jennifer (2015). Assistant Professor of Occupational Science and Therapy. B.S., Grand Valley State University; M.S., OTD, University of Illinois-Chicago."
269,"Frigo, Emily (2007), Associate Librarian. B.A., M.L.S., University of Wisconsin-Madison."
270,"Frobish, Daniel J. (2006), Associate Professor of Statistics. B.S., University of Illinois, Urbana; M.S., Illinois State University, Normal; Ph.D., Northern Illinois University."
271,"Froncek, Timothy (2002), Affiliate Professor of Music."
272,"Furton, Douglas (2002), Professor of Physics. B.E., M.S., Ph.D., University of Toledo."
273,"Gabrosek, John (1999), Professor of Statistics. B.A., M.S., University of Akron; Ph.D., Iowa State University."
274,"Galbraith, Gretchen (1992), Associate Dean and Professor of History. B.A., Connecticut College; Ph.D., Rutgers University."
275,"Galen, Luke (1999), Professor of Psychology. B.A., University of Nebraska; M.A., Ph.D., Wayne State University."
276,"Gansen, Elizabeth (2016), Professor of Spanish. B.A., M.S., University of Illinois, Urbana; M.A., M. Phil., Ph.D, Yale University."
277,"Gasim, Gamal (2009), Associate Professor of Middle East Studies and Political Science. B.Sc. (Honors), University of Khartoum, Sudan; M.A., International Institute of Islamic Thought and Civilization, Kuala Lumpur, Malaysia; M.A., Kansas State University; Ph.D., Texas Tech University."
278,"Gautreau, Abigail (2017), Assistant Professor of History. B.A., Randolph-Macon Woman’s College; M.St., University of Oxford; Ph.D., Middle Tennessee State University."
279,"Geisel, Rick (2002), Professor of Education. B.S., Liberty University; M.A., Aquinas College; J.D., Ph.D., Regent University."
280,"Gerkin, Patrick (2007), Associate Professor of Sociology/Criminology. Ph.D., Western Michigan University."
281,"Gerson, Hope (2012), Assistant Professor of Mathematics. B.A., Whittier College; M.S., University of Iowa; Ph.D., University of New Hampshire."
282,"Ghiasvand, Noor (2006), Assistant Professor of Biology. B.S., Tabriz University; Ph.D., University of California-Davis."
283,"Ghosh, Abhishek (2015), Assistant Professor of Liberal Studies and Religious Studies. B.S., University of Calcutta; M.St., University of Oxford; M.A., University of Chicago; Ph.D., University of Chicago."
284,"Giardina, Nancy M. (1999), Professor of Movement Science. B.S., University of Rhode Island; M.A., Montclair State College; Ed.D., Columbia University."
285,"Gibbons, Teresa (2002), Senior Affiliate Professor of Writing. B.A., M.A.E., Ball State University."
286,"Gibbs, Beth (2009), Associate Professor of Music. B.S., The Pennsylvania State University; M.M., The Hartt School, University of Hartford; Ph.D., The Pennsylvania State University."
287,"Giedeman, Daniel C. (2001), Professor of Economics. B.A., M.S., Southern Illinois University; M.A., Ph.D., Washington University in St. Louis."
288,"Gilles, Roger (1992), Professor of Writing. B.A., Carnegie-Mellon University; M.F.A., Ph.D., University of Arizona."
289,"Gipson, Karen (1999), Associate Professor of Physics. B.S., North Texas State University; M.S., University of North Texas; Ph.D., Washington State University."
290,"Glass, Stephen (2001), Professor of Movement Science. B.S., North Dakota State University; M.A., Ball State University; Ph.D., Southern Illinois University."
291,"Gleason, Mark (2013), Assistant Professor of Hospitality and Tourism Management. B.S., Grand Valley State University; M.P.A., Western Michigan University; M.S., Michigan State University; Ph.D., Michigan Technological University."
292,"Glupker, Christian G. (2015), Clinical Affiliate Faculty of Economics. B.B.A., Grand Valley State University; M.B.A., Western Michigan University."
293,"Goehring, Meri T. (2010), Associate Professor of Physical Therapy. B.S.P.T., M.H.S., Wichita State University; Ph.D., Nova Southeastern University."
294,"Goerisch, Denise (2016), Assistant Professor of Liberal Studies. B.A., University of California, Riverside; M.A., San Diego State University; Ph.D., San Diego State University and University of California, Santa Barbara."
295,"Goldberg, Stephen R. (1996), Professor of Accounting. B.Sc., DePaul University; M.B.A., University of Chicago; Ph.D., University of Wisconsin-Madison; C.P.A."
296,"Golden, John (1998), Associate Professor of Mathematics. B.S., Michigan State University; M.S., University of Pennsylvania; Ph.D., Pennsylvania State University."
297,"Goldstein, Julie (2016), Assistant Professor of Communications. B.A. University of Wisconsin; MFA, The School of the Art Institute Chicago; Wharton Small Business Development Center, Philadelphia, PA."
298,"Golembeski, Dan (1999), Associate Professor of Modern Languages. B.S., B.A., Oakland University; M.A., Ph.D., Indiana University."
299,"Gomez, Natalia (2000), Associate Professor of Spanish. B.A., Western Michigan University; M.A., Arizona State University; Ph.D., Indiana University."
300,"Gondhalekar, Vijay (2003), Professor of Finance. B.S., University of Bombay, India; M.B.A., University of Akron; Ph.D., University of Pittsburgh."
301,"Goode, James (1986), Professor of History. B.S., Georgetown University; M.A., University of Massachusetts; Ph.D., Indiana University."
302,"Goodyear, Michele L. (2009), Instructor of Medical Laboratory Science. B.S., Ferris State University."
303,"Gopal, Yasmin (2016), Assistant Professor of Communications. B.A., M.A., Patna University, India; M.A., Bowling Green State University; Ph.D., University of Georgia."
304,"Gottlieb, Gabriele (2005), Assistant Professor of History. B.A. University of Augsburg; M.A., Ph.D., University of Pittsburgh."
305,"Graham, Douglas (2003), Associate Professor of Biomedical Sciences. B.A., Denison University; M.A., University of Florida; Ph.D., Colorado State University."
306,"Grant Jr., George (1996), Associate Professor of Social Work. B.S.W., Marygrove College; M.S.W., Grand Valley State University; Ph.D., Western Michigan University."
307,"Grant, James (1980), Professor of Education. B.A., Hope College; M.A., Western Michigan University; Ph.D., University of Michigan."
308,"Grant, Rita H. (1980), Associate Professor of Accounting. B.A., Hope College; M.B.A., Michigan State University; C.P.A."
309,"Grapczynski, Cynthia A. (1995), Professor of Occupational Therapy. B.S., Wayne State University; M.S., University of Wisconsin; Ed.D., Teachers College-Columbia University."
310,"Graser, Dan (2014), Assistant Professor of Music. B.M., SUNY Potsdam; M.M., D.M.A., The University of Michigan."
311,"Green, Mary (1996), Assistant Professor of Physical Therapy. B.A., LeMoyne College; M.S., Beaver College; J.D., Michigan State University, College of Law."
312,"Green, Scott (2013), Assistant Professor/Dosimetry Program Director and RT Faculty. B.S., Thomas Edison State; M.S., Southern Illinois University."
313,"Green-Smith, Dianne (2002), Associate Professor of Social Work. B.A., Xavier University; M.S.W., Tulane University; Ph.D., Loyola University-Chicago."
314,"Greer, Gary (2003), Professor of Biology. B.A., University of Northern Colorado; M.A., Humboldt State University; Ph.D., Ohio University."
315,"Griffin, Carol B. (1996), Professor of Biology and Natural Resources Management. B.S., North Dakota State University; M.S., Indiana University; M.S., Ph.D., State University of New York."
316,"Grissom, Scott B. (1999), Professor of Computing and Information Systems. B.E.D., Texas A&M University; M.S., Ph.D., The Ohio State University."
317,"Gross, Jennifer (1998), Professor of Psychology. B.A., Oakland University; M.A., Ph.D., Wayne State University."
318,"Guevara, Julia A. (1989), Professor of Social Work. B.S., Grand Valley State University; M.S.W., Western Michigan University; Ph.D., Michigan State University."
319,"Gu, Wei (2006), Associate Professor of Education. B.A., Nanjing University; M.A., Ph.D., Pennsylvania State University."
320,"Gulgin, Heather (2008), Associate Professor of Movement Science. B.S., University of Alabama at Birmingham; M.A.E., University of Alabama at Birmingham; Ph.D., University of Toledo."
321,"Gyorkos, Amy (2014), Assistant Professor of Movement Science. B.S., Central Michigan University; M.A., Ph.D., Western Michigan University."
322,"Haïdar, Salim M. (1992), Professor of Mathematics. B.S., St. Vincent College; M.S., Ph.D., Carnegie-Mellon University."
323,"Hall, Julie S. (2007), Assistant Professor of Medical Laboratory Science. B.S., Ferris State University; M.S., Grand Valley State University."
324,"Halling, Dan C. (2011), Associate Professor, Director of Audiology and Speech-Language Pathology. Ph.D., Indiana University."
325,"Hamilton, Erica (2014), Assistant Professor of Education. B.A., M.A., Ph.D., Michigan State University."
326,"Harper, Christopher (2014), Clinical Affiliate Faculty. B.B.A., Grand Valley State University; M.B.A., Michigan State University."
327,"Harrington, Susan (2012), Assistant Professor of Nursing. B.S.N., College of St. Teresa; M.S.N., Oakland University; Ph.D., Wayne State University."
328,"Harris, Monica (2008), Associate Professor of Education. B.S., M.A., Eastern Michigan University; Ph.D., University of Kansas."
329,"Harro, Cathy (2006), Assistant Professor of Physical Therapy. B.S., University of Illinois; M.S., University of North Carolina-Chapel Hill."
330,"Hart, Dawn (2008), Associate Professor of Cell and Molecular Biology. B.S., University of Michigan; Ph.D., Wayne State University."
331,"Hart, Matthew (2005), Associate Professor of Chemistry. B.S., Michigan State University; Ph.D., University of California, Irvine."
332,"Hasenbank, Jon (2012), Assistant Professor of Mathematics. B.S., Michigan Technological University; M.S., Ph.D., Montana State University."
333,"Harvey, Barbara (2013), Assistant Librarian. B.S., M.A., University of Northern Iowa; M.A., University of Iowa."
334,"Harvey, Eric (2015), Assistant Professor of Communications. B.A., M.A., Ph.D., Indiana University. "
335,"Hatzel, Brian (2002), Associate Professor of Movement Science. B.S., University of Florida; M.S., Ball State University; Ph.D., University of Florida."
336,"Haven, Chris (2002), Associate Professor of Writing. B.A., M.A., University of Kansas; M.F.A., Southwest Texas State University; Ph.D., University of Houston."
337,"Hawk, Laura M. (2017), Assistant Professor of Chemistry. B.S., University of Wisconsin - Madison; Ph.D., University of Chicago."
338,"Heid, Kelly (2012), Affiliate Professor of Geology. B.A., University of Missouri-Kansas City; M.Ed., Cambridge College; M.S., Mississippi State University."
339,"Helder, Doreen (2002), Affiliate Professor of Education. B.A., M.A., Calvin College."
340,"Henderleiter-Aldrich, Julie (2002), Associate Professor of Chemistry. B.S., University of Wisconsin-Madison; Ph.D., University of Northern Colorado."
341,"Hendersen, Robert (1994), Professor of Psychology. B.A., Reed College; Ph.D., University of Pennsylvania."
342,"Henderson-King, Donna H. (1997), Professor of Psychology. B.A., Simon Fraser University; M.A., Ph.D., University of Michigan."
343,"Henderson-King, Eaaron I. (1997), Associate Professor of Psychology. B.A., University of California at Santa Barbara; M.A., Ph.D., University of Michigan."
344,"Henke, Dellas R. (1985), Professor of Art and Design. B.S., State University of New York; M.A., M.F.A., University of Iowa."
345,"Henshaw, Michael T. (2007), Associate Professor of Biology. B.S., Grand Valley State University; M.A., Ph.D., Rice University."
346,"Herlands, Jason (2013), Assistant Professor of Japanese. B.A., Middlebury College; Ph.D., University of Michigan."
347,"Herrington, Deborah (2003), Professor of Chemistry. B.S., Wilfrid Laurier University; M.S., University of Waterloo; Ph.D., Purdue University."
348,"Hewitt, Avis G. (2001), Professor of English. B.A., College of Wooster; M.A., Ph.D., Ball State University."
349,"Hindeleh, Firas (2009), Associate Professor of Mathematics. B.A., The University of Jordan; M.A., Ph.D., The University of Toledo."
350,"Hinsch, Andrew Christian (2011), Assistant Professor of Marketing. B.S., M.B.A., University of Missouri-St. Louis; Ph.D., University of Missouri-Columbia."
351,"Hipp, Sally (2002), Associate Professor of Education. B.S., M.A., Michigan State University; Ed.D., Western Michigan University."
352,"Hiskes, Richard (2013), Professor of Political Science and Human Rights and Directory of Human Rights. A.B. Hope College; M.A., Ph.D., Indiana University."
353,"Hittepole, Philip (2017), Affiliate Faculty of Engineering. B.S., Illinois Institute of Technology; M.S., Michigan Technological University; M.S., University of South Florida."
354,"Hodge, John (1977), Professor of Management. B.A., M.A., Ed.D., Western Michigan University; M.L.I.R., Michigan State University."
355,"Hodge, Jonathan (2002), Professor of Mathematics. B.S., Calvin College; M.A., California State University-Dominguez Hills; M.A., Ph.D., Western Michigan University."
356,"Hoekstra, Ryan (2016), Affiliate Faculty of Chemistry. B.S., Grand Valley State University; Ph.D., University of California, Los Angeles."
357,"Hoffman, Mark C. (1999), Associate Professor of Public and Nonprofit Administration. B.A., College of Wooster; M.A., Ph.D., Cleveland State University."
358,"Holder, Benjamin P. (2013), Assistant Professor of Physics. B.A., Wesleyan University; Ph.D., University of Texas at Austin."
359,"Hollister, Robert (2006), Professor of Biology. B.S., M.S., Ph.D., Michigan State University."
360,"Holohan, Kevin (2012), Assistant Professor of Education. B.A., DePaul University; Ph.D., Michigan State University."
361,"Hoogenboom, Barbara (2000), Professor of Physical Therapy. B.S., Calvin College; M.H.S., Grand Valley State University; Ed.D., Eastern Michigan University."
362,"Hooper, Barbara L. (2008), Affiliate Faculty of Nursing. B.S.N., Nazareth College; M.S.N., Grand Valley State University."
363,"Hoogstra, Eric (2012), Clinical Affiliate of Finance. B.S., Aquinas College; M.B.A., Grand Valley State University; Ph.D., Capella University."
364,"Hornik, Joseph G. (2001), Instructor of Computing and Information Systems. B.S., M.S., Grand Valley State University."
365,"Horrocks, Caitlin (2008), Associate Professor of Writing. B.A., Kenyon College; M.F.A., Arizona State University."
366,"Hosterman, William (2001), Associate Professor of Art and Design. B.F.A., The Pennsylvania State University; M.F.A., Indiana University."
367,"Houghton-Rahrig, Lori (2012), Assistant Professor of Nursing. B.S.N., M.S.N., Grand Valley State University; Ph.D., Michigan State University."
368,"Howard, Peggy (2009), Affiliate Professor of Communications. B.S., Andrews University; M.S.A., University of Notre Dame."
369,"Hu, Xiangling (2008), Associate Professor of Management. B.S., Fudan University; M.A., Tongji University; M.S., Ph.D., Washington State University."
370,"Huang, Lihua (2012), Assistant Professor of Social Work. B.A., M.A., Nanjing University; M.S.W., Grand Valley State University; Ph.D., Michigan State University."
371,"Huey, Amorak (2011), Assistant Professor of Writing. B.A., Birmingham-Southern College; M.F.A., Western Michigan University."
372,"Huizen, David L. (2009), Assistant Professor of Occupational Safety and Health Management. B.A., Hope College; M.A., University of Michigan."
373,"Hulst, Craig (2002), Senior Affiliate Professor of Writing. B.A., Grand Valley State University; M.A., Western Michigan University; Ph.D., Indiana University of Pennsylvania."
374,"Huner, Michael (2012), Assistant Professor of History. B.A., Valparaiso University; M.A., Ph.D., University of North Carolina at Chapel Hill."
375,"Hunt, Jodee (1995), Professor of Biology. B.S., University of Arizona; M.S., San Diego State University; Ph.D., University of Kansas."
376,"Hussain, Azfar (2010), Associate Professor of Liberal Studies. B.A., M.A., Dhaka University; M.A., Ph.D., Washington State University."
377,"Iadonisi, Rick (2002), Senior Affiliate Professor of Writing. B.A., Framingham State College; M.A., Boston College; Ph.D., Indiana University."
378,"Isely, Paul (1997), Professor of Economics. B.S., University of Wisconsin-Madison; M.S., Ph.D., Purdue University."
379,"Jack, Kristen (2003), Assistant Professor of Hospitality and Tourism Management. B.S., M.Ed., CHA, Grand Valley State University; Ph.D., Western Michigan University."
380,"Jacquot, Joseph J. (1999), Associate Professor of Biology. B.S., M.S., Bowling Green State University; Ph.D., Miami University."
381,"Jager, Lorie (2009), Affiliate Professor of Communications. B.A., Central Michigan University; M.A., Western Michigan University."
382,"James, Jennifer (2014), Affiliate Professor of Psychology. B.A., Hope College; M.Ed., Ph.D., Loyola University."
383,"Janes, Patricia (2012), Professor of Hospitality and Tourism Management. B.A., M.S.A., Central Michigan University; Ph.D., Michigan State University."
384,"Jarchow, Susan (2005), Affiliate Faculty of Nursing. B.S.N., Michigan State University; M.S.N., Andrews University."
385,"Jaskiewicz, Lara J. (2012), Assistant Professor of Health Administration. B.A., University of Illinois; M.B.A., M.P.H., University of Minnesota."
386,"Jelier, Richard W. (1995), Professor of Public Administration. B.A., B.S., M.A., Ph.D., Michigan State University."
387,"Jenkins, Virginia (2008), Professor of Art and Design. B.F.A., Michigan State University; M.F.A., University of Utah."
388,"Jiao, Lihong (2004), Professor of Engineering. B.S., M.S., Nankai University; Ph.D., Pennsylvania State University."
389,"Jin, Min (2010), Affiliate Professor of Music. B.M., Chongshin University; M.M., Mannes College of Music; D.M.A., Eastman School of Music."
390,"Jinn, Jann-Huei (1991), Professor of Statistics. B.S., National Chengchi University; M.S., Ph.D., State University of New York at Albany."
391,"Johnson, Brian (1994), Professor of Criminal Justice. B.A., University of Wisconsin; M.S., M.L.I.R., Ph.D., Michigan State University."
392,"Johnson, Brian (2011), Affiliate Professor of Education. B.A., Hampton University; M.T., Hampton University; J.D., Thomas M. Cooley Law School; Ph.D., Michigan State University."
393,"Johnson, Ingrid L. (2009), Associate Professor of Movement Science. B.S., M.Ed., University of Minnesota; Ph.D., University of New Mexico."
394,"Johnson, Jerry L. (1997), Associate Professor of Social Work. M.S.W., Grand Valley State University; Ph.D., Western Michigan University."
395,"Johnson, Paul (1986), Professor of Engineering. B.A., Houghton College; M.S., Ph.D., University of Notre Dame."
396,"Johnson, Sherry R. (2010), Assistant Professor of English. B.Ed., B.A., York University; M.A., Ph.D., University of Wisconsin-Madison."
397,"Johnson, Sidney A. (2016), Affiliate Faculty in Economics. B.S.B.A., M.B.A., University of Detroit Mercy; M.A., Wayne State University."
398,"Jones, Tonisha (2012), Assistant Professor of Criminal Justice. B.A., M.A., Ph.D., Washington State University."
399,"Jones-Rikkers, Catherine (1994), Associate Professor of Management. B.S., M.B.A., Grand Valley State University; J.D., University of Notre Dame Law School."
400,"Joo, Sung-Hwan (2008), Associate Professor of Engineering. B. Eng. Dong-A University; M.S., Ph.D., University of Oklahoma."
401,"Jordan, Tessa M. (2015), Assistant Professor of Psychology. B.A., M.S., Ph.D., University of New Mexico."
402,"José, Laurence (2010), Associate Professor of Writing. M.A., University Marc Bloch; Ph.D., Michigan Technological University."
403,"Joshi, Mahendra (2007), Associate Professor of Management. B.Ph., University of Delhi; M.F.T. Central Food Technological Research Institute; M.B.A., Ph.D., University of Arkansas."
404,"Kaitany, Andrea (2004), Affiliate Professor of Writing. B.A., M.A., Iowa State University; Ph.D., Michigan State University."
405,"Kalafut, Andrew (2010), Associate Professor of Computing and Information Systems. B.S., Bradley University; M.S., Ph.D., Indiana University."
406,"Kaletka, Cheryl (2007), Affiliate Professor of Education. B.A., Hope College; M.A., Grand Valley State University."
407,"Kanaboshi, Naoki (2012), Assistant Professor of Criminal Justice. B.A, Aoyama Gakuin University; M.A., Waseda University; M.L.I., LL.M., S.J.D., University of Wisconsin."
408,"Kandalaft, Nabeeh (2016), Assistant Professor of Engineering, B.A., Iowa State University; M.S., Iowa State University; Ph.D., University of Windsor."
409,"Kaneko, Todd (2009), Assistant Professor of Writing. B.A., University of Washington; M.F.A., Arizona State University."
410,"Kantner, Christopher (2011), Affiliate Professor of Music. M.M., State University of New York - Stony Brook; B.M., University of Michigan."
411,"Kapitula, Laura (2011), Associate Professor of Statistics. B.A., State University of New York at Fredonia; M.S., University of New Mexico; M.A., University of New Mexico; Ph.D., University of New Mexico."
412,"Karasinski, Courtney (2011), Assistant Professor of Speech-Language Pathology. B.S., Illinois State University; M.A., Western Michigan University; Ph.D., University of Wisconsin-Madison."
413,"Karpen, Mary E. (1995), Professor of Chemistry. B.S., Clarkson University; B.A., State University of New York; M.S., Ph.D., Case Western Reserve University."
414,"Kasmer, Lisa (2010), Associate Professor of Mathematics. B.A., Michigan State University; M.A., Ph.D., Western Michigan University."
415,"Kautz, Cheryl (2014), Affiliate Professor of Computing and Information Systems. B.S., University of Wisconsin - Stout; M.B.A., Cornerstone University."
416,"Keegan, Cael (2014), Assistant Professor of Women, Gender, and Sexuality Studies and Liberal Studies. B.A., St. Bonaventure University; M.A., Ph.D., University at Buffalo."
417,"Keider, R. Charles (2012), Instructor and Clinical Coordinator of Radiation Therapy. B.S., M.S., Grand Valley State University; R.T. (Certificate), William Beaumont School of Radiation Therapy."
418,"Keenlance, Paul W. (2007), Assistant Professor of Biology and Natural Resources Management. B.S., M.S., University of Wisconsin-Stevens Point; Ph.D., Michigan State University."
419,"Kegley, Anthony (2009), Associate Professor of Biomedical Sciences. B.A., Arizona State University; M.S., Ph.D., University of the Witwatersrand."
420,"Kelder, Shaunna (2013), Assistant Professor of Occupational Therapy. B.S., Eastern Michigan University; OTD, Chatham University."
421,"Kelley-Lafata, Kim (2002), Affiliate Professor of Writing. B.A., Hope College; M.A., Western Michigan University."
422,"Kelly Lowenstein, Jeffrey (2016), Assistant Professor of Communications. B.A., Stanford University; M.S., Northwestern University."
423,"Kennedy, Devereaux (2003), Professor of Sociology. B.A., Washington University in St. Louis; M.A., Ph.D., SUNY."
424,"Kennedy, Eric (2017), Assistant Professor of Marketing. B.S., University of Phoenix; M.B.A., Ph.D., University of North Texas."
425,"Kenyon, Lisa K. (2010), Associate Professor of Physical Therapy. B.S., University of Vermont; M.H.S., University of Indianapolis; Ph.D., DPT, Nova Southeastern University."
426,"Kessler, Lara (2007), Associate Professor of Accounting. B.A., Northern Arizona University; M.S.A., Grand Valley State University; J.D., Vanderbilt University School of Law; C.P.A."
427,"Khoo, Sok Kean (2016), Associate Professor of Cell and Molecular Biology. B.Sc., M.Sc., University of Science, Malaysia; Ph.D., Tokyo University of Marine Science and Technology."
428,"Kierkus, Christopher (2004), Professor of Criminal Justice. M.A., University of Western Ontario; M.A., Ph.D., SUNY Albany."
429,"Kierzek, Jennifer (2008), Affiliate Professor of Writing. B.A., University of Washington; M.F.A., Arizona State University."
430,"Kilbourne, John (2004), Professor of Movement Science. B.A., California State University-Long Beach; M.A., UCLA; Ph.D., The Ohio State University."
431,"Kilburn, Howard W. (2007), Associate Professor of Political Science. B.A., Grinnell College; M.P.Aff., University of Texas at Austin; Ph.D., University of North Carolina at Chapel Hill."
432,"Kimboko, Priscilla (2000), Professor of Public and Health Administration. B.A., M.A., Ph.D., Portland State University."
433,"Kimoto, Diane M. (2002), Associate Professor of Public and Nonprofit Administration. B.A., M.A., California State University at Long Beach; Ph.D., University of California at Los Angeles."
434,"Kindschi, Douglas P. (1976), Professor of Mathematics and Philosophy. B.A., Houghton College; M.A., Ph.D., University of Wisconsin."
435,"King, Caryn M. (1991), Professor of Education. B.A., Alfred University; M.A., Slippery Rock University; Ph.D., University of Pittsburgh."
436,"King, Erika (1995), Professor of Political Science. A.B., Oberlin College; M.A., Ph.D., Northwestern University."
437,"King, Sarah J. (2012), Associate Professor of Liberal Studies and Religious Studies. B.Sc., University of Guelph; M.A., Wilfrid Laurier University; Ph.D., University of Toronto."
438,"Kingshott, Brian (2003), Professor of Criminal Justice. B.A., M.A., Ph.D., University of Exeter, England."
439,"Kinne, Bonni L. (2010), Assistant Professor of Physical Therapy. B.S., M.A., Western Michigan University; M.S., P.T., Grand Valley State University; DHSc., A.T. Still University."
